Rank,Chip Name,NanoReview Score,AnTuTu Score
187,Helio P90,24,388553
188,Exynos 8895,24,447464
189,Unisoc T606,23,330006
190,Tiger T610,23,320967
191,Tiger T700,23,332816
192,Exynos 850,23,231906
193,Snapdragon 460,23,251428
194,Kirin 710F,23,323894
195,Helio P65,23,290447
196,Exynos 9611,23,355351
197,Kirin 710A,22,343622
198,Helio G35,22,200794
199,Helio P70,22,303398
200,Kirin 710,22,336905
